Temp,Humidity,Wind,Precipitation,Clouds,Pressure,UV,Season,Visibility,Location,Weather
23,69,9.5,10,clear,1012.91,9,Spring,8.5,inland,Sunny
29,82,18,78,overcast,991.54,3,Spring,4,inland,Rainy
36,48,3.5,11,partly cloudy,1024.92,10,Autumn,5.5,mountain,Sunny
32,35,5.5,9,partly cloudy,1010.24,6,Summer,9,coastal,Sunny
23,23,3.5,8,clear,1027.69,5,Spring,6.5,mountain,Sunny
30,57,12.5,33,overcast,1002.2,1,Autumn,7,inland,Cloudy
28,65,1.5,20,partly cloudy,1007,4,Spring,8.5,mountain,Cloudy
29,96,11.5,79,partly cloudy,1013.23,0,Spring,1,inland,Rainy
35,63,8,3,clear,1029.83,10,Spring,5,mountain,Sunny
18,82,8.5,83,overcast,999.13,0,Summer,2.5,coastal,Rainy
8,90,1.5,70,partly cloudy,1011.19,10,Spring,7.5,mountain,Cloudy
19,65,2.5,20,partly cloudy,1016.81,1,Spring,8,inland,Cloudy
28,72,14,73,partly cloudy,1005.12,1,Summer,1,coastal,Rainy
40,94,15,97,clear,1021.59,3,Autumn,4.5,coastal,Sunny
15,61,11,63,overcast,1006.12,3,Spring,4.5,mountain,Rainy
26,90,26,88,partly cloudy,998.97,4,Summer,2.5,coastal,Rainy
26,67,11,74,overcast,993.37,1,Spring,1.5,inland,Rainy
21,61,5,17,overcast,886.6,2,Autumn,0.5,coastal,Rainy
17,50,7,6,clear,1017.27,6,Spring,6,inland,Sunny
20,62,10,12,partly cloudy,1022.43,0,Winter,7,inland,Cloudy
22,68,8,18,overcast,1014.29,7,Summer,8.5,inland,Cloudy
26,63,6.5,94,clear,1012.72,6,Autumn,4,inland,Sunny
31,66,3.5,41,partly cloudy,1006.41,8,Autumn,8,coastal,Cloudy
30,77,4.5,89,partly cloudy,1019.08,5,Summer,4,inland,Rainy
25,82,5.5,68,overcast,998.55,3,Summer,1.5,inland,Rainy
19,41,6,0,clear,1029.63,9,Spring,8,mountain,Sunny
27,65,7.5,27,overcast,1146.34,7,Winter,15,inland,Cloudy
24,63,3.5,44,partly cloudy,1008.97,6,Spring,6.5,coastal,Cloudy
11,73,1.5,87,overcast,992.94,2,Winter,2.5,mountain,Rainy
10,60,2,92,cloudy,991.3,2,Autumn,2,coastal,Cloudy
13,45,3.5,1,clear,1019.2,9,Spring,5,inland,Sunny
21,57,6,21,overcast,1009.21,3,Spring,8.5,inland,Rainy
15,29,4.5,13,clear,1013.89,7,Winter,7,coastal,Sunny
